passing_yards,passing_epa,passing_cpoe,pacr,roof,surface,temp,wind,is_home,def_tackles_solo_y,def_tackles_with_assist_y,def_tackle_assists_y,def_tackles_for_loss_y,def_tackles_for_loss_yards_y,def_fumbles_forced_y,def_sacks_y,def_sack_yards_y,def_qb_hits_y,def_interceptions_y,def_interception_yards_y,def_pass_defended_y,def_tds_y,def_fumbles_y,def_safeties_y,comp_percent,avg_time_to_throw,aggressiveness,passer_rating,expected_completion_percentage,completion_percentage_above_expectation,cumulative_avg,def_recent_avg_allowed,def_5game_avg_allowed,def_trend,def_consistency
244,10.20475524963341,6.350380901632638,1.7553956834532374,outdoors,fieldturf,67.0,3.0,0,33,0,30,7,34,2,4.0,26.0,7,0,0,4,0,0,0,0.7333333333333333,2.4343999999999992,20.0,136.66666666666666,68.423,4.910333333333327,205.56674477361844,203.04400554400556,204.0635481635482,-2.5227392296128905,79.883428127305
290,-1.8421275162300697,2.374263036818731,1.0622710622710625,outdoors,grass,63.0,10.0,1,36,8,42,4,16,0,2.0,12.0,5,2,9,6,0,0,0,0.6888888888888889,2.803866666666667,4.444444444444445,75.2314814814815,65.69955555555555,3.189333333333338,205.56674477361844,203.04400554400556,204.0635481635482,-2.5227392296128905,79.883428127305
245,6.090108856966253,5.381516899381365,1.084070796460177,dome,matrixturf,,,1,35,3,23,5,42,1,3.0,21.0,6,0,0,1,0,0,0,0.7241379310344828,2.418103448275862,10.344827586206897,109.1235632183908,65.14551724137931,7.268275862068961,205.56674477361844,203.04400554400556,204.0635481635482,-2.5227392296128905,79.883428127305
168,-11.39383654077999,-13.457901123911142,0.7433628318584071,outdoors,grass,68.0,5.0,0,31,2,28,7,19,1,2.0,11.0,8,0,0,7,0,0,0,0.4594594594594595,2.6889189189189184,18.91891891891892,59.29054054054054,58.68027027027027,-12.73432432432432,205.56674477361844,203.04400554400556,204.0635481635482,-2.5227392296128905,79.883428127305
362,14.945327814546475,9.620190027988318,1.0342857142857145,outdoors,fieldturf,62.0,4.0,0,35,6,30,10,30,0,4.0,29.0,9,1,1,5,0,0,0,0.7058823529411765,2.785939393939394,17.647058823529413,102.8186274509804,61.630294117647054,8.957941176470598,205.56674477361844,203.04400554400556,204.0635481635482,-2.5227392296128905,79.883428127305
188,1.6543752712656965,0.172881827209935,0.5714285714285714,outdoors,grass,75.0,11.0,0,32,2,26,3,8,1,0.0,0.0,1,0,0,6,0,0,0,0.6176470588235294,2.9506666666666663,26.47058823529412,76.59313725490196,57.213235294117645,4.551470588235297,205.56674477361844,203.04400554400556,204.0635481635482,-2.5227392296128905,79.883428127305
225,1.3743778578947283,11.339418903777474,1.3803680981595092,outdoors,grass,60.0,5.0,0,38,5,41,9,32,0,4.0,25.0,9,1,0,2,0,0,0,0.7948717948717948,3.0907948717948712,15.384615384615383,88.56837606837607,71.19948717948719,8.287692307692296,205.56674477361844,203.04400554400556,204.0635481635482,-2.5227392296128905,79.883428127305
258,3.4485526789862906,-5.99277631232613,0.9520295202952028,dome,,,,0,36,0,24,3,10,0,2.0,9.0,8,0,0,4,0,0,0,0.6153846153846154,2.3785,5.128205128205128,89.47649572649573,69.40153846153846,-7.863076923076925,205.56674477361844,203.04400554400556,204.0635481635482,-2.5227392296128905,79.883428127305
209,8.798420577786704,8.720899255652176,1.2080924855491328,outdoors,a_turf,58.0,8.0,0,44,0,8,5,45,2,2.0,15.0,4,0,0,1,0,0,0,0.7368421052631579,2.696157894736842,15.789473684210526,144.4078947368421,73.43315789473684,0.2510526315789434,205.56674477361844,203.04400554400556,204.0635481635482,-2.5227392296128905,79.883428127305
167,5.766234403595268,-10.401313503583271,0.5,closed,fieldturf,,,0,27,1,25,2,3,0,1.0,8.0,3,0,0,7,0,0,0,0.53125,2.9494687500000003,18.75,99.34895833333334,56.45343750000001,-3.328437500000007,205.56674477361844,203.04400554400556,204.0635481635482,-2.5227392296128905,79.883428127305
394,14.233714385272462,8.594318959448072,0.985,outdoors,a_turf,58.0,8.0,1,51,2,22,3,8,1,1.0,5.0,3,0,0,4,0,0,0,0.717391304347826,2.982733333333333,6.521739130434782,112.04710144927536,68.11369565217392,3.625434782608693,205.56674477361844,203.04400554400556,204.0635481635482,-2.5227392296128905,79.883428127305
150,-6.831034911036733,7.339647954160517,0.7614213197969543,outdoors,fieldturf,67.0,6.0,1,36,1,19,7,21,2,1.0,4.0,2,0,0,3,0,1,0,0.6956521739130435,2.5945909090909094,13.043478260869565,87.22826086956522,63.289130434782614,6.2760869565217305,205.56674477361844,203.04400554400556,204.0635481635482,-2.5227392296128905,79.883428127305
163,1.5247993258601382,-1.733811045515126,0.9819277108433736,dome,sportturf,,,0,42,1,27,7,36,0,5.0,33.0,5,0,0,5,0,0,0,0.7241379310344828,2.481,10.344827586206897,108.83620689655172,76.34620689655173,-3.932413793103464,205.56674477361844,203.04400554400556,204.0635481635482,-2.5227392296128905,79.883428127305
272,12.997713351082982,5.388343025898111,1.3877551020408163,closed,fieldturf,,,1,44,3,35,4,17,0,1.0,10.0,2,0,0,4,0,0,0,0.7586206896551724,2.519551724137931,17.24137931034483,115.8764367816092,69.2496551724138,6.612413793103443,205.56674477361844,203.04400554400556,204.0635481635482,-2.5227392296128905,79.883428127305
114,-14.372576010195072,-7.551020383834839,0.6867469879518072,closed,fieldturf,,,0,26,2,24,4,16,1,3.0,13.0,6,2,20,5,0,0,0,0.6086956521739131,2.6381739130434783,13.043478260869565,51.721014492753625,68.2504347826087,-7.380869565217395,114.0,114.0,114.0,0.0,79.883428127305
188,10.06529425203067,13.074940307573838,0.7430830039525692,outdoors,grass,60.0,5.0,1,32,2,18,2,2,0,0.0,0.0,2,0,0,1,0,0,0,0.7272727272727273,2.8421818181818184,18.181818181818183,128.59848484848487,66.36136363636363,6.365909090909099,205.56674477361844,203.04400554400556,204.0635481635482,-2.5227392296128905,79.883428127305
318,17.567262160454625,5.788767951376298,0.9298245614035088,dome,,,,1,40,2,18,6,17,1,3.0,14.0,4,0,0,2,0,0,0,0.7352941176470589,2.879205882352941,14.705882352941178,131.74019607843138,70.3555882352941,3.173823529411777,205.56674477361844,203.04400554400556,204.0635481635482,-2.5227392296128905,79.883428127305
