iter	RMSE
0	8.480162321
1	8.409089911
2	8.34871705
3	8.29940493
4	8.256756574
5	8.218453441
6	8.186119708
7	8.15518843
8	8.127315647
9	8.104547814
10	8.076734799
11	8.059384241
12	8.043222594
13	8.022898554
14	8.006871725
15	7.995760977
16	7.984173086
17	7.969806087
18	7.951086222
19	7.940200395
20	7.924735969
21	7.917699629
22	7.903735685
23	7.89630856
24	7.887153412
25	7.877702272
26	7.867985108
27	7.861135456
28	7.851428625
29	7.846544507
30	7.837500469
31	7.830966632
32	7.826113895
33	7.818885682
34	7.814945661
35	7.809253383
36	7.802839566
37	7.796128922
38	7.790635436
39	7.785642541
40	7.782008289
41	7.777282414
42	7.771041429
43	7.767644513
44	7.763883203
45	7.760296342
46	7.756475508
47	7.750953185
48	7.745361559
49	7.741568424
50	7.734931502
51	7.729252243
52	7.72658552
53	7.724278217
54	7.720216763
55	7.718273417
56	7.714188841
57	7.712613635
58	7.70813794
59	7.705685049
60	7.70394496
61	7.702169423
62	7.699170446
63	7.695009508
64	7.691421964
65	7.689335925
66	7.685569116
67	7.682992936
68	7.680024419
69	7.678196183
70	7.67426393
71	7.670564064
72	7.668862662
73	7.667031424
74	7.665378801
75	7.663932632
76	7.661824186
77	7.658326679
78	7.65592176
79	7.653538945
80	7.651574427
81	7.648834808
82	7.646281212
83	7.64454593
84	7.641377553
85	7.639470436
86	7.637459266
87	7.636482706
88	7.633755585
89	7.631380827
90	7.629278661
91	7.626998245
92	7.624969139
93	7.6238358
94	7.621863021
95	7.620537066
96	7.618734399
97	7.616359165
98	7.615508563
99	7.613768853
100	7.610380268
101	7.609501957
102	7.607437023
103	7.606554937
104	7.605701304
105	7.603907335
106	7.602551777
107	7.601276376
108	7.600174557
109	7.599419507
110	7.598558975
111	7.597507796
112	7.596566031
113	7.595328183
114	7.593790762
115	7.59306512
116	7.592106098
117	7.591277358
118	7.590452999
119	7.589440232
120	7.588626894
121	7.587792329
122	7.586214086
123	7.585150539
124	7.58409206
125	7.583292205
126	7.582340098
127	7.581356929
128	7.580709775
129	7.579402104
130	7.578502187
131	7.578053374
132	7.57708384
133	7.575963116
134	7.574666798
135	7.574198149
136	7.573751538
137	7.573030044
138	7.572413621
139	7.571984513
140	7.571156802
141	7.570327165
142	7.56959499
143	7.569128365
144	7.568604289
145	7.567993573
146	7.56742361
147	7.566789122
148	7.566520294
149	7.565397333
150	7.564770539
151	7.563543028
152	7.563202305
153	7.562762571
154	7.562285564
155	7.561535472
156	7.561186064
157	7.560610148
158	7.560208521
159	7.55897986
160	7.558510498
161	7.558032809
162	7.557657754
163	7.556948358
164	7.556689442
165	7.556288291
166	7.555646325
167	7.55502094
168	7.554562773
169	7.554048371
170	7.553711708
171	7.553519005
172	7.552927448
173	7.552449309
174	7.551984856
175	7.551596596
176	7.551165823
177	7.550652883
178	7.550392814
179	7.549962896
180	7.549166851
181	7.548858133
182	7.548541146
183	7.54815341
184	7.547850391
185	7.547475579
186	7.546996469
187	7.546673475
188	7.546455525
189	7.546143972
190	7.545715416
191	7.545443485
192	7.54519804
193	7.544771236
194	7.544563457
195	7.544289618
196	7.54409315
197	7.543884856
198	7.543491987
199	7.54326753
200	7.543061714
201	7.542854245
202	7.542620532
203	7.542404797
204	7.542016621
205	7.541607974
206	7.541357307
207	7.541029347
208	7.540749228
209	7.540498382
210	7.540222682
211	7.539959163
212	7.53978343
213	7.539668128
214	7.539472842
215	7.539298448
216	7.538936018
217	7.538653816
218	7.538443395
219	7.538220052
220	7.538063384
221	7.537949398
222	7.537770153
223	7.537505837
224	7.537238959
225	7.536966338
226	7.536734883
227	7.536251043
228	7.536140239
229	7.535920369
230	7.535800773
231	7.535613418
232	7.535460526
233	7.535290091
234	7.535099123
235	7.534885257
236	7.53477325
237	7.534557989
238	7.534394253
239	7.534271396
240	7.534173699
241	7.534045227
242	7.533871927
243	7.533709013
244	7.533549131
245	7.533387278
246	7.533203079
247	7.533035014
248	7.532837777
249	7.532694055
250	7.532540268
251	7.532396623
252	7.532269963
253	7.532180841
254	7.532060832
255	7.531801898
256	7.531613778
257	7.531546409
258	7.531343664
259	7.531250234
260	7.531124087
261	7.5309477
262	7.53079138
263	7.530687481
264	7.530440318
265	7.530324169
266	7.530233532
267	7.530138559
268	7.529899406
269	7.529706448
270	7.529510046
271	7.529392032
272	7.529208789
273	7.529066054
274	7.528995808
275	7.528829411
276	7.528756048
277	7.528702045
278	7.528521578
279	7.528409446
280	7.528266977
281	7.528124562
282	7.528050272
283	7.527898232
284	7.527784609
285	7.527701128
286	7.527620756
287	7.527504895
288	7.527416035
289	7.527301598
290	7.527159861
291	7.527076309
292	7.526911066
293	7.526815254
294	7.526679013
295	7.526604427
296	7.52647631
297	7.526398229
298	7.526312325
299	7.52623518
300	7.526069064
301	7.525997459
302	7.525859675
303	7.525772012
304	7.525698735
305	7.525554461
306	7.525500848
307	7.525437225
308	7.525316292
309	7.525238107
310	7.525129043
311	7.525077875
312	7.525033528
313	7.524968825
314	7.524888009
315	7.52484194
316	7.524753813
317	7.524687372
318	7.524620374
319	7.524555655
320	7.524455751
321	7.524365863
322	7.524278164
323	7.524177696
324	7.524039745
325	7.523957381
326	7.523900885
327	7.523826881
328	7.523718213
329	7.523667034
330	7.523566787
331	7.5234674
332	7.523366718
333	7.523316631
334	7.523205683
335	7.52315637
336	7.523073242
337	7.523025226
338	7.522939625
339	7.522879074
340	7.522814924
341	7.522750553
342	7.522675478
343	7.522615601
344	7.522495277
345	7.522400047
346	7.522349577
347	7.522256656
348	7.52221566
349	7.522157793
350	7.522056407
351	7.521994557
352	7.521954248
353	7.521877113
354	7.521834318
355	7.521765098
356	7.52170746
357	7.521627409
358	7.52158302
359	7.521520477
360	7.521473458
361	7.521404088
362	7.521367633
363	7.521310011
364	7.521220078
365	7.521166322
366	7.52110726
367	7.521065119
368	7.521014928
369	7.52097115
370	7.520930573
371	7.5208735
372	7.520821487
373	7.520780247
374	7.520720189
375	7.520677763
376	7.520632248
377	7.520586806
378	7.520544908
379	7.520492342
380	7.520435644
381	7.520380807
382	7.520325848
383	7.520291699
384	7.52024568
385	7.520201823
386	7.520175329
387	7.520099224
388	7.520036691
389	7.519999124
390	7.519943357
391	7.519897146
392	7.519858368
393	7.519808938
394	7.519749786
395	7.519681254
396	7.51964895
397	7.519605632
398	7.519564725
399	7.519499067
400	7.519460725
401	7.519419384
402	7.519378573
403	7.519338977
404	7.51931393
405	7.519280412
406	7.519242738
407	7.519195092
408	7.519169257
409	7.519129584
410	7.519085046
411	7.519037884
412	7.519008725
413	7.518957821
414	7.518925396
415	7.518875209
416	7.518830597
417	7.518798348
418	7.518765065
419	7.51874421
420	7.518695629
421	7.518647543
422	7.518591766
423	7.518549068
424	7.518499582
425	7.518447446
426	7.518411747
427	7.518385409
428	7.518354366
429	7.518314368
430	7.518255899
431	7.518197643
432	7.518154818
433	7.518098631
434	7.51806112
435	7.518032153
436	7.518004837
437	7.517947196
438	7.517910161
439	7.517882337
440	7.517834413
441	7.517769192
442	7.517729626
443	7.517699452
444	7.517669013
445	7.517631415
446	7.517595632
447	7.517566053
448	7.517526795
449	7.517495556
450	7.517459116
451	7.517423556
452	7.517388851
453	7.517343815
454	7.517287266
455	7.517260282
456	7.517228985
457	7.517195387
458	7.517160186
459	7.517127226
460	7.51709704
461	7.517062585
462	7.517029965
463	7.517002213
464	7.516964899
465	7.516939728
466	7.516883017
467	7.516854783
468	7.516832792
469	7.516806328
470	7.516784801
471	7.516762549
472	7.516737209
473	7.51670096
474	7.516667937
475	7.516644771
476	7.516606666
477	7.516567006
478	7.516527009
479	7.516498156
480	7.516466115
481	7.516424119
482	7.516383271
483	7.516365411
484	7.516331357
485	7.516298866
486	7.516278111
487	7.516258621
488	7.516229445
489	7.5161989
490	7.516179268
491	7.516156472
492	7.51612782
493	7.516098438
494	7.516074766
495	7.516046221
496	7.516012327
497	7.515985282
498	7.515954415
499	7.515925833
500	7.515900108
501	7.51586317
502	7.515837384
503	7.515810582
504	7.51578966
505	7.51575466
506	7.515728616
507	7.515705463
508	7.515684009
509	7.515649403
510	7.515621705
511	7.515603292
512	7.515579593
513	7.515557223
514	7.515530333
515	7.515505991
516	7.515465622
517	7.515446083
518	7.515420596
519	7.515380978
520	7.515355622
521	7.515322351
522	7.5152908
