iter	Passed	Remaining
0	103	103837
1	138	69259
2	174	57939
3	208	51881
4	243	48492
5	283	46885
6	325	46151
7	366	45411
8	410	45225
9	452	44777
10	491	44156
11	527	43454
12	564	42855
13	598	42141
14	632	41518
15	675	41543
16	717	41467
17	755	41226
18	793	40968
19	828	40603
20	861	40177
21	904	40211
22	953	40513
23	987	40173
24	1021	39839
25	1053	39478
26	1091	39348
27	1135	39402
28	1173	39290
29	1219	39444
30	1255	39252
31	1291	39063
32	1321	38714
33	1353	38456
34	1381	38097
35	1416	37930
36	1452	37813
37	1493	37805
38	1544	38061
39	1616	38806
40	1654	38696
41	1695	38676
42	1742	38784
43	1779	38669
44	1810	38422
45	1843	38233
46	1877	38072
47	1914	37974
48	1945	37766
49	1982	37674
50	2018	37568
51	2055	37478
52	2092	37383
53	2126	37245
54	2166	37219
55	2206	37195
56	2249	37210
57	2291	37212
58	2331	37184
59	2368	37106
60	2403	36997
61	2442	36947
62	2481	36905
63	2530	37001
64	2567	36935
65	2603	36843
66	2640	36773
67	2676	36679
68	2719	36694
69	2754	36599
70	2793	36553
71	2829	36466
72	2871	36469
73	2912	36449
74	2947	36356
75	2980	36231
76	3017	36175
77	3047	36019
78	3090	36025
79	3124	35935
80	3163	35893
81	3202	35848
82	3238	35783
83	3275	35722
84	3318	35720
85	3354	35650
86	3389	35567
87	3431	35558
88	3467	35488
89	3505	35440
90	3542	35387
91	3579	35328
92	3614	35249
93	3653	35217
94	3695	35209
95	3731	35141
96	3781	35201
97	3814	35112
98	3855	35092
99	3891	35025
100	3936	35037
101	3992	35150
102	4030	35098
103	4065	35025
104	4108	35021
105	4150	35004
106	4179	34883
107	4214	34805
108	4249	34738
109	4289	34707
110	4327	34660
111	4366	34616
112	4403	34562
113	4438	34497
114	4472	34422
115	4507	34348
116	4541	34271
117	4574	34193
118	4611	34142
119	4647	34080
120	4679	33994
121	4723	33994
122	4761	33950
123	4807	33959
124	4853	33976
125	4903	34015
126	4941	33965
127	4974	33888
128	5019	33891
129	5058	33850
130	5097	33813
131	5138	33786
132	5171	33710
133	5205	33644
134	5237	33560
135	5278	33530
136	5311	33456
137	5344	33383
138	5379	33320
139	5418	33285
140	5454	33229
141	5487	33158
142	5522	33097
143	5568	33099
144	5600	33021
145	5636	32968
146	5675	32931
147	5714	32894
148	5747	32828
149	5779	32748
150	5815	32697
151	5842	32596
152	5877	32539
153	5913	32488
154	5952	32449
155	5988	32397
156	6024	32349
157	6058	32289
158	6095	32239
159	6130	32186
160	6175	32179
161	6216	32157
162	6253	32109
163	6292	32075
164	6323	31999
165	6361	31960
166	6395	31898
167	6428	31834
168	6458	31755
169	6489	31684
170	6524	31629
171	6561	31588
172	6599	31548
173	6639	31520
174	6672	31456
175	6708	31409
176	6743	31356
177	6774	31283
178	6809	31230
179	6850	31206
180	6888	31169
181	6922	31111
182	6959	31071
183	6992	31010
184	7028	30962
185	7060	30899
186	7093	30838
187	7125	30776
188	7156	30707
189	7190	30652
190	7232	30635
191	7265	30575
192	7297	30511
193	7328	30446
194	7361	30390
195	7398	30348
196	7429	30282
197	7462	30226
198	7501	30196
199	7534	30139
200	7569	30091
201	7604	30042
202	7639	29995
203	7679	29965
204	7710	29903
205	7746	29856
206	7782	29812
207	7813	29750
208	7854	29728
209	7885	29665
210	7917	29606
211	7953	29562
212	7986	29510
213	8025	29475
214	8055	29413
215	8090	29365
216	8120	29301
217	8154	29251
218	8190	29207
219	8230	29182
220	8273	29162
221	8308	29118
222	8346	29083
223	8382	29040
224	8417	28993
225	8456	28961
226	8489	28909
227	8526	28870
228	8557	28810
229	8592	28767
230	8634	28744
231	8666	28689
232	8702	28646
233	8736	28600
234	8774	28564
235	8810	28523
236	8842	28467
237	8875	28418
238	8911	28375
239	8951	28345
240	8984	28296
241	9016	28241
242	9054	28206
243	9084	28148
244	9119	28102
245	9148	28040
246	9182	27994
247	9217	27950
248	9249	27898
249	9290	27870
250	9331	27846
